Name | Tip | Season | Tools | Sun | Temperature | Soil | Seedlings | Landscaping
Shovel | Plan | Summer | Rake | Full | Cool | Sandy | Eggplant | Rock
Trowel | Prune | Spring | Watering Can | Partial | Mild | Loamy | Tomatoes | Perennials
Weeder | Weed | Fall | Hoe | Shade | Warm | Clay | Carrots | Ground Cover
Fertilizer | Rotate | Winter | Fork | Reflective | Cool | Peat | Peppers | Lawn
Pruners | Mulch | Year Round | Pruners | Refracted | Moderate | Mix | Lettuce | Edging
Fork | Transplant | | Push Broom | Direct | Hot | Silt | Radishes | Mulch
Scissors | Water | | Wheelbarrow | | Cool/Cold | Compost | Squash | Patio
Hose | Plant | | Shears | | Mild/Warm | Manure | Parsnips | Raised Beds
Marker | Fertilize | | Pitchfork | | Cold | Sand | Spinach | Steps
Plant Label | Aerate | | Shovel | | Moderate | Humus | Herbs | Ornamentals
