Author | Title | Year | Rating | Style | Genre | Poem | Element | Length | Theme
Joyce | Ulysses | 1922 | 4.5 | Modernist | Novel | No | Imagery | 600 pp. | Journey of Self-Discovery 
Hardy | Tess of the d'Urbervilles | 1891 | 4.0 | Realistic | Novel | No | Symbolism | 500 pp. | Innocence 
Shakespeare | As You Like It | 1623 | 5.0 | Elizabethan | Play | No | Characterization | 200 pp. | Love & Friendship 
Plath | Ariel | 1965 | 4.5 | Postmodern | Poetry | Yes | Metaphor | 100 pp. | Mental Health 
Dickens | Great Expectations | 1861 | 4.7 | Victorian | Novel | No | Irony | 500 pp. | Self-Deception 
Garcia-Marquez | One Hundred Years of Solitude | 1967 | 5.0 | Magical Realist | Novel | No | Allegory | 400 pp. | Political & Historical 
Shelley | Ozymandias | 1818 | 4.2 | Romantic | Poetry | Yes | Allusion | 50 pp. | Transience of Life 
Austen | Pride and Prejudice | 1813 | 4.7 | Realist | Novel | No | Satire | 350 pp. | Prejudice & Love 
Herrick | To the Virgins | 1648 | 4.8 | Cavalier | Poetry | Yes | Personification | 25 pp. | Time 
Vonnegut | Slaughterhouse-Five | 1969 | 4.5 | Postmodern | Novel | No | Irony | 375 pp. | War
