Biome | Change | Human Impact | Inhabitants | Valley | Oceanic | Grassland | Mountains | Islands 
---- | ------ | ------------- | ---------- | ------ | ------- | -------- | -------- | -------
Tundra | Colder | Overgrazing | Nomads | Streams | Sea ice | Steppe | Rocky | Arctic 
Taiga | Warmth | Deforestation | Hunters | Tributary | Inlets | Meadows | Rocky | Subarctic 
Rainforest | Cooler | Burning | Farmers | Deepwater | Shoals | Plain | Mountainous | Tropical 
Desert | Hotter | Pollution | Shepherds | Salt deposits | Reefs | Shrubland | Hills | Arid 
Grassland | Dryer | Over-cultivation | Indigenous | Flash floods | Gulfs | Savanna | Plateaus | Temperate 
Temperate Forest | Warming | Logging | Loggers | Rapids | Tides | Prairie | Foothills | Temperate 
Marsh | Moist | Pollution | Fisherman | Weir | Banks | Pampas | Slopes | Wetlands
Iceberg | Drifting | Melting | Scientists | Glacier | Currents | Salt flats | Plateaus | Polar 
Prairie | Wetter | Agriculture | Ranchers | Deltas | Deeps | Veld | Rocky | Grassland
