Binary Star | Nebular | Comet | Light Year | Magnitude | Quasar | 
Super Giant Star | Nebula | xystus | 0.3066 pc | -27.4 | 3C273 |
Antares | Orion | Hale-Bopp | 8.6 ls | -23.1 | 3C279 | 
Alpha Centauri | Horsehead | Hailey's | 945 ls | -2.9 | 3C48 |
Barnard's Star | Crab | Shoemaker-Levy | 40263 ls | -4.1 | 3C196 |
Sirius | Helix | Encke | 69951 ls | -5.5 | 3C286 |
Proxima Centauri | Rosetta | Swift-Tuttle | 212584 ls | -1.3 | 3C295 |
Arcturus | Cat's Eye | Halley | 250000 ls | -0.72 | 3C343 |
40 Eridani | Ring | Chiron | 526388 ls | -1.98 | 3C403 |
Wolf 359 | Pleiades | Schwassmann-Wachmann | 851196 ls | -7.3 | 3C405 |
Luyten's Star | Swan | Tailhades | 1020963 ls | -3.0 | 3C380 |
Astronomy | Catalyst | Research | Objects | Analytical | Inspiration | Data-driven | Analysis | Properties | Observables | Quantification | Inference
Sun | Solar | Theoretical | Planets | Evidence | Wonder | Automated | Mapping | Luminosity | Imaging | Photometry | Abstraction
Mercury | Light | Physical | Dwarf | Logic | Opportunity | Artificial | Surveying | Mass | Interferometry | Radar | Observation
Venus | Thermal | Empirical | Galaxies | Reason | Discovery | Neural | Modeling | Temperature | Polarimetry | Reflection | Inference
Earth | Power | Observational | Quasars | Proof | Imagination | Algorithmic | Simulation | Radius | Photometry | Faceting | Prediction
Mars | Heat | Formation | Stars | Facts | Exploration | Heuristic | Computing | Orbit | Reflecting | Rotation | Identification
Jupiter | Propulsion | Digitization | Black Holes | Rigor | Education | Machine | Properties | Rotation | Imaging | Position | Decision
Saturn | Electrical | Metrics | Neutron Stars | Illumination | Imagery | Automation | Features | Spin Width | Analysis | Color | Computing
Uranus | Fluids | Transcription | Open Clusters | Conspiracy | Intelligent | Classification | Validation | Oxygen Type | Profiling | Parallax | Regression
Neptune | Magnetism | Data Science | White Dwarfs | Derivation | Imagining | Statistical | Networks | Hydrogen Type | Contrasts | Acceleration | Classifying
Pluto | Nuclear | Synthesis | Globulars | Criteria | Inspire | Intelligent | Transformation | Helium Type | Monitoring | Brightness | Learning
Ceres | Chemistry | Experimentation | Supernovas | Basis | Knowledge | Genetic | Quantification | Carbon Type | Techniques | Movement | Visualization
