Geomancy|Pars Fortuna|Fortuna Position|Fortuna Significance||Part of Fortune Right|Part of Fortune Left|Pars Fortuna Significance|Part of Spirit|Part of Spirit Position|Part of Spirit Significance|
Chevreul|7|11|Virtue and Honor|17|4||2|Power and Strength|7|Dominion and Command|
Romani|12|3|Potential of Mind|13|9||7|Courage and Daring|12|Winning Confidence and Advancement|
Rational|14|10|Affection and Adaptability|2|6||4|Love and Graciousness|8|Joy, Success, and Fulfillment|
Chiromancy|15|8|Opportunity and Luck|4|7||8|Victory and Success|14|Fidelity and Reward|
Modem|1|1|Knowledge and Wisdom|7|13||1|Understanding and Prudence|1|Justice and Duty|
Egyptian|5|15|Energy and Invention|6|2||13|Intelligence and Creativity|5|Protection and Preservation|
Aesc|13|4|Discipline and Service|5|8||10|Fortitude and Resilience|3|Attainment and Accomplishment|
Hermes|3|12|Adventure and Intuition|11|1||5|Inspiration and Imagination|9|Adventure and Extension|
Natural|6|6|Compassion and Humility|14|4||9|Trust and Faith|11|Transcendence and Profoundity|
Gold|4|7|Prosperity and Luck|3|5||7|Acceptance and Tolerance|13|Realization and Rejuvenation|
Beacon|14|14|Power and Consecration|9|11||5|Communication and Entertainment|10|Release and Liberation|
Guardian|10|5|Endurance and Balance|13|3||4|Cooperation and Solidarity|6|Restoration and Resurgence|
Horary|2|9|Reason and Strategy|1|17||12|Authority and Direction|2|Loyalty and Obedience|
Trinitarian|8|2|Endurance and Awareness|17|10||14|Exploration and Discovery|3|Truth and Justice|
Scotch|11|13|Mobility and Expansion|12|7||6|Harmony and Equilibrium|15|Revelation and Blessing|
Crooked|9|11|Success and Gain|8|12||3|Learning and Self-Expression|4|Equality and Imagination|
