Author | Title | Year | Rating | Character | Protagonist | Conflict | Setting | Length | Theme | Music | Imagery
Shakespeare | Romeo & Juliet | 1595 | 4.8 | 3 | Romeo | Love v. Hate | Verona | 225 pp. | Tragedy | No | Yes 
Joyce | Dubliners | 1914 | 4.5 | 10 | Eveline | Choices | Dublin | 200 pp. | Coming of Age | No | Yes 
Plath | The Bell Jar | 1963 | 4.9 | 6 | Esther | Society v. Self | New York | 250 pp. | Feminism | No | Yes 
Shelley | Frankenstein | 1818 | 4.7 | 4 | Victor | Suffering | Europe | 450 pp. | Exploration | No | Yes 
Gibran | The Prophet | 1923 | 4.4 | 15 | Al-Mustafa | Life Journeys | Orphalese | 175 pp. | Reflection | No | No
Dickens | Bleak House | 1852 | 4.8 | 18 | Esther | Quest for Truth | London | 500 pp. | Oppression | No | No 
Vonnegut | Cat's Cradle | 1963 | 4.6 | 5 | Bokonon | Religion v. Science | San Lorenzo | 350 pp. | Societal Decay | No | No
Voltaire | Candide | 1759 | 4.3 | 3 | Candide | Optimism v. Reality | Europe | 100 pp. | Philosophy | No | Yes 
Hardy | Jude the Obscure | 1895 | 4.6 | 10 | Jude | Community v. Individual | Wessex | 400 pp. | Social Conflict | No | No
Austen | Sense and Sensibility | 1811 | 4.9 | 7 | Elinor | Repression v. Freedom | South of England | 300 pp. | Courtship | No | No 
Wordsworth | The Prelude | 1799 | 4.7 | 8 | Nature | Nature v. Conventions | England | 200 pp. | Nature | No | Yes 
Tolkien | The Hobbit | 1937 | 4.8 | 11 | Bilbo | Adventure v. Comfort | The Shire | 500 pp. | Fantasy | Yes | No
