Sports | Players | Venues | Events | Camps | Cup | Tickets | Records | Championships | Finances | Outcomes
Baseball | Jose, Rachel | Stadium, Park | Home Run Derby, All-Star Game | Pitching, Hitting | World Series | Grandstand, Hotel | Single Season, Career | Division Series, League | Advertising, Premium Seating | Win, Loss
Football | Bryan, Jade | Field, Cage | Super Bowl, Pro Bowl | Passing, Kicking | Bowl Championship | Loge, Suite | Single Game, Team | Monday Night Football, Pro Bowl | Telecast Rights, Licensing | Win, Tie
Rugby | Thomas, Stephanie | Ground, Pitch | Rugby World Cup, Tri Nations Cup | Tackling, Evasion | Six Nations Cup | End Zone, Stands | Individual Player, Cup | Championship Series, Playoffs | Broadcasts, Private Funding | Victory, Defeat
Hockey | Ronald, Claire | Rink, Ice Arena | NHL All-Star Game, Winter Classic | Stick Handling, Checking | Stanley Cup | Arena, Retail | Single Season, Franchise | Conference Finals, Wild Card | Corporate Sponsorship, Merchandise | Win, Loss
Basketball | Paul, Sandra | Court, Hall | 3-point Contest, Dunk Contest | Dribbling, Jumping | NBA Finals | Lower Bowl, Upper Bowl | Points Per Game, Assist | National Teams, College | Television Deals, Mobile Apps | Win, Defeat
Golf | John, Kelsey | Links, Par 3 | Ryder Cup, US Open | Driving, Putting | Masters Tournament | Golf Car, Cart Path | Single Round, Major | Masters, The Open | Course Management Fees, Facility Rentals | Win, Lose
Swimming | Chris, Anastasia | Pool, Lake | Pan Pacific, World Championships | Breaststroke, Freestyle | Speedo Grand Challenge | Parking Lot, Beach | Single Meet, International | Summer Olympics, Paralympics | Pool Rentals, Swimming Pool Fees | Win, Fail
Skiing | Carlos, Delaney | Slope, Mountain | Slalom, Nordic Combined | Downhill, Freestyle | Alpine World Ski Championships | Ski Lift, Chalet | National, World | World Cup, World Championships | Competition Entry Fees, Lift Passes | Win, Place
Track | Andrew, Maria | Track, Field | Marathon, Decathlon | Long Jump, High Jump | Summer Olympics | Track, Section | Amateur, Professional | Championship Races, Grand Prix | Television Deals, Sponsorships | Place, Disqualify
Tennis | Steven, Olivia | Court, Stadium | French Open, Australian Open | Serving, Serving Return | US Open | Grandstand, Terrace | Single Match, Grand Slam | Davis Cup, Fed Cup | Souvenir Sales, Prize Money | Win, Loss
