;PlantSpecies;GrowingConditions;MaintenanceTasks;FinancialMetrics;TargetMarket;SalesRevenue;AvgPriceOfProduct;LineItemCost;TotalProfitMargin;MarketingStrategy;PlotID;BotanicalName;SizeAndShapeOfLeaves
0;  PlantSpecies: Rosa Gallica; GrowingConditions: Full sun, well-drained soil; MaintenanceTasks: Pruning, fertilizing, deadheading; FinancialMetrics: $5000 initial investment, $2000 yearly maintenance; TargetMarket: Flower retailers, event planners; SalesRevenue: $8000 annually; AvgPriceOfProduct: $20 per rose plant; LineItemCost: $10 per rose plant; TotalProfitMargin: 40%; MarketingStrategy: Social media advertising, local garden shows; PlotID: 001; BotanicalName: Rosa gallica; SizeAndShapeOfLeaves: 3-5 inches long, oval with serrated edges.
1; PlantSpecies: Chamaecyparis Lawsoniana; GrowingConditions: Partial shade, moist soil; MaintenanceTasks: Trimming, watering, pest control; FinancialMetrics: $6000 initial investment, $1500 yearly maintenance; TargetMarket: Landscapers, wholesale nurseries; SalesRevenue: $12000 annually; AvgPriceOfProduct: $30 per tree; LineItemCost: $15 per tree; TotalProfitMargin: 50%; MarketingStrategy: Trade shows, industry publications; PlotID: 002; BotanicalName: Chamaecyparis lawsoniana; SizeAndShapeOfLeaves: Scalelike, 1/16 inch long, dark green.
2; PlantSpecies: Hosta Plantaginea; GrowingConditions: Partial to full shade, well-drained soil; MaintenanceTasks: Dividing, watering, slug control; FinancialMetrics: $4000 initial investment, $1000 yearly maintenance; TargetMarket: Garden centers, online plant retailers; SalesRevenue: $7000 annually; AvgPriceOfProduct: $10 per hosta; LineItemCost: $5 per hosta; TotalProfitMargin: 33%; MarketingStrategy: Email marketing, online advertising; PlotID: 003; BotanicalName: Hosta plantaginea; SizeAndShapeOfLeaves: 6-8 inches long, heart-shaped, smooth edge.
3; PlantSpecies: Salvia Splendens; GrowingConditions: Full sun, well-drained soil; MaintenanceTasks: Deadheading, pinching, watering; FinancialMetrics: $3000 initial investment, $800 yearly maintenance; TargetMarket: Retail garden centers, landscape designers; SalesRevenue: $6000 annually; AvgPriceOfProduct: $5 per salvia plant; LineItemCost: $2 per salvia plant; TotalProfitMargin: 62%; MarketingStrategy: In-store promotions, community events; PlotID: 004; BotanicalName: Salvia splendens; SizeAndShapeOfLeaves: 2-4 inches long, lance-shaped, toothed edge.
4; PlantSpecies: Hemerocallis Citrina; GrowingConditions: Full sun, well-drained soil; MaintenanceTasks: Dividing, deadheading, watering; FinancialMetrics: $5000 initial investment, $1200 yearly maintenance; TargetMarket: Specialty plant retailers, online gardening communities; SalesRevenue: $9000 annually; AvgPriceOfProduct: $15 per daylily; LineItemCost: $7 per daylily; TotalProfitMargin: 53%; MarketingStrategy: Influencer partnerships, gardening forums; PlotID: 005; BotanicalName: Hemerocallis citrina; SizeAndShapeOfLeaves: Linear, 1-2 feet long, bright green.
5; PlantSpecies: Hydrangea Macrophylla; GrowingConditions: Partial shade, moist soil; MaintenanceTasks: Pruning, fertilizing, pest control; FinancialMetrics: $7000 initial investment, $2500 yearly maintenance; TargetMarket: Homeowners, landscape architects; SalesRevenue: $14000 annually; AvgPriceOfProduct: $35 per hydrangea; LineItemCost: $20 per hydrangea; TotalProfitMargin: 43%; MarketingStrategy: Direct mail campaigns, gardening clubs; PlotID: 006; BotanicalName: Hydrangea macrophylla; SizeAndShapeOfLeaves: 3-6 inches long, ovate, serrated edge.
6; PlantSpecies: Digitalis Purpurea; GrowingConditions: Partial shade, well-drained soil; MaintenanceTasks: Staking, watering, deadheading; FinancialMetrics: $2000 initial investment, $600 yearly maintenance; TargetMarket: Herb growers, herbalist suppliers; SalesRevenue: $4000 annually; AvgPriceOfProduct: $10 per foxglove; LineItemCost: $5 per foxglove; TotalProfitMargin: 62%; MarketingStrategy: Workshops, herb festivals; PlotID: 007; BotanicalName: Digitalis purpurea; SizeAndShapeOfLeaves: 4-8 inches long, lance-shaped, toothed edge.
7; PlantSpecies: Penstemon Grandiflorus; GrowingConditions: Full sun, well-drained soil; MaintenanceTasks: Deadheading, watering, pinching; FinancialMetrics: $3500 initial investment, $1000 yearly maintenance; TargetMarket: Wildflower seed companies, native plant nurseries; SalesRevenue: $6500 annually; AvgPriceOfProduct: $7 per penstemon; LineItemCost: $4 per penstemon; TotalProfitMargin: 57%; MarketingStrategy: Conservation events, nature centers; PlotID: 008; BotanicalName: Penstemon grandiflorus; SizeAndShapeOfLeaves: 2-3 inches long, lance-shaped, serrated edge.
8; PlantSpecies: Echinacea Purpurea; GrowingConditions: Full sun, well-drained soil; MaintenanceTasks: Dividing, watering, staking; FinancialMetrics: $6000 initial investment, $1800 yearly maintenance; TargetMarket: Herbal tea manufacturers, medicinal plant suppliers; SalesRevenue: $12000 annually; AvgPriceOfProduct: $18 per coneflower; LineItemCost: $10 per coneflower; TotalProfitMargin: 45%; MarketingStrategy: Online tutorials, herbal conferences; PlotID: 009; BotanicalName: Echinacea purpurea; SizeAndShapeOfLeaves: 3-6 inches long, lance-shaped, rough textured.
9; PlantSpecies: Athyrium Niger; GrowingConditions: Partial to full shade, moist soil; MaintenanceTasks: Dividing, watering, mulching; FinancialMetrics: $4500 initial investment, $1200 yearly maintenance; TargetMarket: Garden designers, specialty plant shops; SalesRevenue: $8000 annually; AvgPriceOfProduct: $20 per fern; LineItemCost: $12 per fern; TotalProfitMargin: 44%; MarketingStrategy: Home and garden magazines, botanical gardens; PlotID: 010; BotanicalName: Athyrium niger; SizeAndShapeOfLeaves: 1-2 feet long, triangular, lobed edge.</s>
