;Photo Title; Category; Characteristics; Location; Lense Type; Flash Used; White Balance Setting; Focus Mode; Post Process Software; Original Image Size (pixels) ; Final Image Size (pixels); Print Dimensions (inches); Duration Of Event Captured (seconds); Overall Rating (out of 5); Comments; Version
0;" ""Burst of Energy"""; Action; High shutter speed, Clear focus; Football field; Telephoto; External flash; Auto; Continuous focus; Lightroom; 5184 x 3456; 5184 x 3456; 16 x 10.8; 1/500; 4.5; Great shot, but could use a bit more contrast; V1
1;"""Golden Sunset"""; Landscape; Soft light, Vibrant colors; Beach; Wide-angle; No flash; Cloudy; Single Autofocus; Photoshop; 6000 x 4000; 6000 x 4000; 20 x 13.3; 30; 4.8; Stunning sunset, good job capturing the colors; V1
2;"""Morning Whispers"""; Nature; Soft focus, Calm tones; Forest; Macro; No flash; Shade; Manual focus; Capture One; 4000 x 3000; 4000 x 3000; 13.3 x 10; 60; 4.3; Nice depth of field, consider brightening the image slightly; V1
3;"""The Architect"""; Portrait; High contrast, Sharp focus; Studio; 85mm Prime; No flash; Studio; Single Autofocus; Darktable; 4500 x 3500; 4500 x 3500; 15 x 11.25; 120; 4.9; Great use of light, good job capturing the model's expression; V1
4;"""Motion Blur"""; Abstract; Motion blur, Monochrome; City Street; Wide-angle; No flash; Auto; Continuous Servo AF; Rawtherapee; 5500 x 4000; 3072 x 2048; 10.8 x 8; 2; 4.6; Interesting concept, consider cropping to emphasize the blur; V1
5;"""Glow of the Night"""; Night; Low light, Long exposure; City Skyline; Wide-angle; Tripod-mounted flash; Auto; Manual focus; Portrait Pro; 8000 x 6000; 8000 x 6000; 26.7 x 20; 180; 4.4; Pretty cityscape, would benefit from sharpening the lights; V1
6;"""The Silent Watcher"""; Wildlife; Natural light, Telephoto; African Savannah; Telephoto; No flash; Auto; Continuous Autofocus; Affinity Photo; 6000 x 4000; 6000 x 4000; 20 x 13.3; 1/1000; 4.7; Great shot, but could use some noise reduction; V1
7;"""Frozen in Time"""; Macro; High magnification, Depth of field; Frozen lake; Macro; No flash; Cloudy; Single Autofocus; DxO PhotoLab; 3000 x 2000; 3000 x 2000; 10 x 6.6; 1/250; 4.2; Nice composition, good job holding steady; V1
8;"""The Blue Hour"""; Cityscape; Low light, Tripod-mounted; City harbor; Wide-angle; Tripod-mounted flash; Auto; Manual focus; Aperture; 7000 x 4000; 7000 x 4000; 23.3 x 13.3; 240; 4.5; Nice use of the blue hour, could use some exposure adjustment; V1
9;"""The Urban Jungle"""; Street; High contrast, Wide-angle; Busy city intersection; Wide-angle; No flash; Auto; Continuous Servo AF; Iridient Developer; 5500 x 3500; 5500 x 3500; 18.3 x 11.6; 1; 4.8; Great timing, good use of the available light; V1</s>
