;God;Spouse(ves);Children;Divine Tools/Attributes;Domains;Mythmaking Role;Godly Responsibilities & Powers;#Zombies;Taboo Actions;Rituals/Sacrifices;Festivals / Holy Days;Moral Teachings;*Animals Associations*
0; Zeus;Hera;Hestia, Demeter, Hera, Poseidon, Zeus, Athena, Apollo, Artemis, Ares, Aphrodite, Hermes, Dionysus;Thunderbolt;Sky, Weather, Law, Order;Creating Life, Protector of Humans;Lightning, Storms;1;Castration of Uranus;Animal Sacrifices;Olympian Games;Justice, Loyalty to Family;Eagle, Bull, Lightning Bolt
1;Odin;Frigg;Thor, Balder, Hod, Hermod, Tyr;Spear (Gungnir), Two Ravens (Huginn and Muninn), Eight-legged horse (Sleipnir);9;Suicide by Hanging;Blood of Slain Enemies;War, Death, Poetry, Knowledge;Leader of Gods;War, Battlefield Decisions;3;Eating the Golden Apples of Idunn;Burning of the Dead Blot Wisdom, Courage
2;Poseidon;Amphitrite;Triton, Pegasus, Chrysaor, Scylla;Trident;Sea, Earthquakes, Horses, Storms;Earth-shaker, Tsunamis;1;Causing the Deluge;Libations;Building Temples;Sea-worthiness;Kindness to Animals;
3;Anubis;Anput/Anukis;Kebechet;Jackal Head, Flail, Ankh;Death, Mummification;Guide of the Dead, Embalming;3;Patricide;Animal Sacrifices;Mummification;Funerals;Honesty, Humility;Jackal, Dog
4;Hades;Persephone;Macaria, Melinoe, Plutus;Helm of Darkness, Cerberus;Underworld, Wealth (in the form of precious metals and gems);Ruler of the Underworld, Wealth Accumulation;0;Leaving the Underworld;Dog Sacrifices;Building Temples;Restraint in Wealth Accumulation;Fertility, Respect for Natural Processes;Black Dog, Three-headed Dog (Cerberus)
5;Hestia;None;None;Hearth, Kettle, Fire;Home, Hearth, Family;Goddess of the Hearth;Domestic Bliss;0;Leaving the Hearth Unattended;Mealtime Prayers;Hestia's Flame;Harmony in Family;Simplicity, Gratitude Donkey, Pig
6;Demeter;Persephone;Kore, Triptolemus, Iacchus, Despoina;Torch, Wheat Sheaf;Agriculture;Harvest, Fertility, Sacred Law;2;Divulging Persephone's Mysteries;Sacrifices of Pigs;Eleusinian Mysteries;Preservation of Agriculture;Loyalty, Love for Children;Serpent, Pig, Cow, Stallion
7;Hera;Zeus;Hebe, Ares, Eileithyia;Scepter, Crown, Veil;Marriage, Women, Childbirth;Queen of the Gods;Protector of Marriage;5;Marital Infidelity;Wedding Ceremonies;Marriage Contract;Fidelity, Honor;Cow, Peacock
8;Hapi;None;None;Fertility Figurines;Nile River, Fertility;Nile God of Fertility;Ensuring Nile River's Annual Flood and Fertility;0;Harm to the Nile;Animal Sacrifices;Construction of Temples;Communal Agriculture;Sharing, Generosity Baboon, Bull
9;Athena;None;Erastratus, Halirrhothius, Themis;Owl, Aegis, Spear, Shield (Gorgoneion);Wisdom, Courage, Inspiration, Just Warfare, Heroic Endeavor, Mathematics;Warrior Maiden;Civilization, Wisdom, Inspiration, Heroic Endeavors;1;Weaving;Animal Sacrifices;Academic Contests;Wisdom, Honor;Owl, Olive Tree, Snake</s>
