;Product ID; Product Name; Size; Color; Material; Brand; Price Range; Season; Occasion; Style; Availability; Store; Purchase Date; Return Policy; Customer Reviews
0; 1001; Denim Jacket; M; Blue; Cotton; Levi's; $50-$100; Spring; Casual; Classic; In Stock; Macy's; 04/05/2022; 30 days return; ★★★★☆ (4.0/5)
1;1002; Silk Blouse; S; Ivory; Silk; Gucci; $800-$1200; Fall; Formal; Luxury; Limited Stock; Saks Fifth Avenue; 03/10/2022; 14 days return; ★★★★★ (5.0/5)
2;1003; Tartan Skirt; L; Red & Black; Wool; Ralph Lauren; $200-$300; Winter; Festive; Preppy; Available Online; Bloomingdale's; 12/01/2021; 60 days return; ★★★★☆ (4.5/5)
3;1004; Leather Pants; S; Black; Leather; Balmain; $800-$1200; Fall; Party; Edgy; In Store; Neiman Marcus; 09/28/2021; 30 days return; ★★★☆☆ (3.5/5)
4;1005; Bamboo Shirt; XL; Green; Rayon; H&M; $20-$40; Summer; Casual; Tropical; Clearance; hm.com; 07/15/2021; 15 days return; ★★★★☆ (4.0/5)
5;1006; Denim Overalls; L; Light Blue; Cotton; J.Crew; $100-$150; Spring; Workwear; Casual; Backorder; jcrew.com; 05/13/2021; 30 days return; ★★★☆☆ (3.0/5)
6;1007; Tweed Blazer; M; Navy Blue; Wool; Brooks Brothers; $400-$600; Fall; Business; Preppy; In Stock; brooksbrothers.com; 11/25/2021; 45 days return; ★★★★☆ (4.0/5)
7;1008; Utility Jumpsuit; XS; Olive Green; Cotton; Madewell; $150-$200; Spring; Outdoor; Casual; In Store; madewell.com; 04/02/2022; 30 days return; ★★★★☆ (4.0/5)
8;1009; Velvet Suit; S; Burgundy; Velvet; Dolce & Gabbana; $2000-$3000; Winter; Formal; Luxury; In Store; farfetch.com; 12/22/2021; 15 days return; ★★★★☆ (4.0/5)
9;1010; Linen Pants; XL; White; Linen; Zara; $50-$80; Summer; Casual; Coastal; Available Online; zara.com; 07/30/2021; 30 days return; ★★★☆☆ (3.5/5)</s>
