;"""Structure Type""";" ""Construction Method""";" ""Additional Material""";" ""Condition""";" ""Renovation Status""";" ""Roof Style""";" ""Flooring Type""";" ""Window Style""";" ""Preservation Level""";" ""Landscape Integration""";" ""Energy Efficiency Rating""";" ""Acoustic Quality""";" ""Surrounding Environment""";" ""Special Features"""
0;"  ""Gothic Cathedral""";" ""Stone Vaulting""";" ""Stained Glass""";" ""Good""";" ""Partially Renovated""";" ""Pointed Arch""";" ""Marble Flooring""";" ""Lancet Windows""";" ""High""";" ""Garden and Courtyard""";" ""B Rating""";" ""Excellent""";" ""Historic Urban Area""";" ""Ornate Decoration, Crypts"""
1;" ""Brutalist Office Building""";" ""Reinforced Concrete""";" ""Exposed Aggregate""";" ""Fair""";" ""Not Renovated""";" ""Flat Roof""";" ""Concrete Flooring""";" ""Band Windows""";" ""Medium""";" ""Minimal Landscape""";" ""C Rating""";" ""Good""";" ""Urban Jungle""";" ""Raw, Robust Design"""
2;" ""Victorian Villa""";" ""Timber Frame""";" ""Plaster and Wood Paneling""";" ""Fair""";" ""Renovated""";" ""Hipped Roof""";" ""Hardwood Flooring""";" ""Sash Windows""";" ""High""";" ""Mature Trees""";" ""A Rating""";" ""Very Good""";" ""Residential Street""";" ""Turrets, Veranda"""
3;" ""Mid-Century Modern Bungalow""";" ""Post-and-Beam""";" ""Plywood and Glass""";" ""Excellent""";" ""Fully Renovated""";" ""Low-Sloping Shed Roof""";" ""Polished Concrete Flooring""";" ""Clerestory Windows""";" ""Medium""";" ""Xeriscape Garden""";" ""A+ Rating""";" ""Superior""";" ""Quiet Neighborhood""";" ""Open Floor Plan"""
4;" ""Georgian Mansion""";" ""Load-Bearing Brick Walls""";" ""Lime Mortar""";" ""Good""";" ""Partially Renovated""";" ""Gabled Roof""";" ""Terracotta Tiles""";" ""Six-Over-Six Windows""";" ""High""";" ""Formal Gardens""";" ""B+ Rating""";" ""Very Good""";" ""Parkland Setting""";" ""Symmetrical Design"""
5;" ""Federal Townhouse""";" ""Flemish Bond Brickwork""";" ""Slate Roof""";" ""Fair""";" ""Renovation Pending""";" ""Gambrel Roof""";" ""Hardwood Flooring""";" ""Dormer Windows""";" ""Medium""";" ""City Park""";" ""C Rating""";" ""Fair""";" ""Urban Park""";" ""Marble Fireplaces"""
6;" ""Pueblo Adobe House""";" ""Earthen Construction""";" ""Adobe Bricks and Beams""";" ""Good""";" ""Renovated""";" ""Flat Roof with Parapet""";" ""Earthen Flooring""";" ""Small Window Openings""";" ""High""";" ""Desert Landscape""";" ""B- Rating""";" ""Adequate""";" ""Southwestern Scenery""";" ""Earthen Ovens, Courtyard"""
7;" ""Swiss Chalet""";" ""Timber Frame""";" ""Wood Shingles""";" ""Excellent""";" ""Fully Renovated""";" ""Gabled Roof with Overhang""";" ""Wood Flooring""";" ""Shuttered Windows""";" ""High""";" ""Alpine Meadow""";" ""A Rating""";" ""Very Good""";" ""Mountain View""";" ""Balcony, Stone Fireplace"""
8;" ""Contemporary Loft Apartment""";" ""Steel Frame""";" ""Glass and Metal Panels""";" ""Excellent""";" ""Fully Renovated""";" ""Flat Roof""";" ""Polished Concrete Flooring""";" ""Full-Height Windows""";" ""Low""";" ""Rooftop Garden""";" ""A+ Rating""";" ""Superior""";" ""City Skyline""";" ""Open-Plan Living"""
9;" ""Japanese Tea House""";" ""Wood Frame""";" ""Paper and Bamboo""";" ""Good""";" ""Partially Renovated""";" ""Flat Roof with Skylight""";" ""Tatami Flooring""";" ""Sliding Shoji Screens""";" ""Medium""";" ""Zen Garden""";" ""B- Rating""";" ""Adequate""";" ""Traditional Landscape""";" ""Engawa Veranda, Tokonoma""</s>"
