;Fabric Type; Designer Name; Style Era; Pattern Type; Clothing Type; Cultural Origin; Closure Type; Garment Care; Material Type; Seasonal Trend; Average Purchase Price; Popular Size; Best Seller Rank; Customer Rating
0;" ""Cotton"; Brandon Maxwell; Modern; Solid; Dress; American; Zipper; Machine Wash; Woven; Spring Trend; $800; Medium; #1 Best Seller; 4.5 Stars
1;Denim; Levi's; 90's; Distressed; Jeans; American; Button Fly; Machine Wash; Woven; Year-Round Trend; $50; Multiple Sizes; Top Seller; 4 Stars
2;Silk; Oscar de la Renta; 50's; Floral; Blouse; French; Button; Dry Clean; Woven; Summer Trend; $1500; Small; Best Seller; 4.8 Stars
3;Polyester; Zara; 80's; Geometric; Jumpsuit; Spanish; Hook and Eye; Hand Wash; Knit; Fall Trend; $100; Large; Popular; 3.5 Stars
4;Wool; Ralph Lauren; 70's; Plaid; Coat; British; Button; Dry Clean; Woven; Winter Trend; $2500; Multiple Sizes; Best Seller; 5 Stars
5;Silk Satin; Christian Dior; 40's; Animal Print; Pajamas; French; Tie; Dry Clean; Woven; Year-Round Trend; $1200; Small; Top Seller; 4.3 Stars
6;Velvet; Gucci; 20's; Patterned; Suit; Italian; Buttons; Dry Clean; Woven; Winter Trend; $5000; Multiple Sizes; Best Seller; 4.7 Stars
7;Leather; Alexander McQueen; 60's; Solid; Jacket; British; Zipper; Specialist Clean; Woven; Fall Trend; $3500; Large; Popular; 4.2 Stars
8;Chiffon; Marchesa; 30's; Lace; Skirt; Italian; Hook and Eye; Dry Clean; Woven; Spring Trend; $2000; Small; Best Seller; 4.6 Stars
9;Linen; Celine; 2000's; Striped; Shirt; French; Buttons; Machine Wash; Woven; Summer Trend; $400; Multiple Sizes; Top Seller;" 4 Stars""</s>"
