;Photo Title; Category; Location Shootage; Time Zone; External Storage Device; Storage Folder Path; Photo Size (in MB); Thumbnail Created?; Editing Software Used; Post Process Edits Made; Date Uploaded To Social Media; Upload Platform; Server Type; Privacy Setting.
0;" ""Mountain Peak Summit"""; Nature; Colorado, USA; Mountain Time; Seagate External Hard Drive; Nature/Colorado/; 20.5; Yes; Adobe Lightroom; Color correction, cropping; 2022-07-01; Instagram; Cloud-based; Public
1;"""Brooklyn Bridge Symmetry"""; Cityscape; New York, USA; Eastern Time; Western Digital My Passport; Cityscape/NY/; 15.8; Yes; Capture One Pro; Level adjustments, sharpening; 2022-07-03; Facebook; Hybrid; Friends only
2;"""Lavender Field Dreams"""; Landscape; Provence, France; Central European Time; Toshiba Canvio Basics; Landscape/France/; 24.7; Yes; Adobe Camera Raw; Exposure compensation, white balance; 2022-07-05; Pinterest; Cloud-based; Public
3;"""Desert Mirage Oasis"""; Nature; Arizona, USA; Mountain Time; LaCie Rugged Thunderbolt; Nature/AZ/; 18.6; Yes; Skylum Luminar AI; Atmosphere enhancement,AI sky replacement; 2022-07-07; Twitter; Cloud-based; Followers only
4;"""Sydney Harbour Nightlife"""; Cityscape; New South Wales, Australia; Australian Eastern Time; WD Elements Portable; Cityscape/NSW/; 29.3; Yes; DxO PhotoLab; Noise reduction, vignette correction; 2022-07-09; LinkedIn; Cloud-based; Connections only
5;"""Scottish Highlands Wildlife"""; Nature; Scotland, United Kingdom; Greenwich Mean Time; Buffalo MiniStation; Nature/Scotland/; 16.4; Yes; ON1 Photo RAW; Clarity enhancement, lens correction; 2022-07-11; Flickr; Cloud-based; Public
6;"""Paris Rooftop Charm"""; Cityscape; Ile-de-France, France; Central European Time; Transcend StoreJet; Cityscape/Paris/; 21.2; Yes; Topaz Studio; Color grading, detail enhancement; 2022-07-13; Tumblr; Cloud-based; Followers only
7;"""Tropical Beach Serenity"""; Landscape; Florida, USA; Eastern Time; ADATA HD710M; Landscape/FL/; 33.5; Yes; Serif Affinity Photo; Haze removal, highlight recovery; 2022-07-15; Snapchat; Cloud-based; Friends only
8;"""Alpine Lake Tranquility"""; Nature; Switzerland; Central European Time; Seagate Backup Plus Slim; Nature/Switzerland/; 19.8; Yes; Exposure X7; Contrast adjustment, structure enhancement; 2022-07-17; VSCO; Cloud-based; Followers only
9;"""Tokyo City Pulse"""; Cityscape; Japan; Japan Standard Time; Kingston DataTraveler; Cityscape/Japan/; 25.9; Yes; Corel AfterShot Pro; Perspective correction, saturation enhancement; 2022-07-19; 500px; Cloud-based; Public</s>
