Planet | Star | Dwarf Planet | Constellation | Moon | Galaxy | Nebula |
Mercury | Canopus | Makemake | Draco | Calisto | Andromeda | Eagle |
Venus | Alpha Centauri | Orcus | Hercules | Io | Milky Way | Crab |
Earth | Sirius | Quaoar | Ursa Major | Tethys | Spiral | Horsehead |
Uranus | Procyon | Eris | Cassiopeia | Oberon | Elliptical | Lagoon |
Mars | Betelgeuse | Sedna | Orion | Phobos | Irregular | Ring |
Jupiter | Rigel |Haumea | Perseus | Europa | Starburst | Trifid |
Saturn | Vega | Pluto | Cygnus | Mimas | Protogalaxy | Helix | 
Neptune | Pollux | Varuna | Ophiuchus | Triton | Ultraluminous | Rosette|
Astronomy | Formation | Logic | Technology | Spacecraft | Spacecraft | Temperature | Chemistry | Biology | Materials
Solar | Stellar | Propositional | Programming | Satellites | Probes | Atomic | Solutions | Life | Metals
Mercury | Galactic | Gates | Networking | Rockets | Missions | Molecular | Reactants | DNA | Plastics
Venus | Intergalactic | Ideology | Robotics | Shuttles | Charges | Photonic | Reactions | Organisms | Ceramics
Earth | Hypergalactic | Argument | AI | Exploration| Autonomy | Quantum | Compounds | Genomes | Polymers
Mars | Universe | Deduction | Sensors | Discovery | Intelligence | Absolute | Products | Organelles | Alloy
Jupiter | Cosmology | Theory | Automation | Telecommunications | Counters | Kelvin | Acids | Species | Lubricants
Saturn | Replacement | Inference | Mining | Navigation | Mining | Galvanic | pH | Evolution | Fiber
Uranus | Process | Axiom | Security | Imaging | Manufacturing | Joule | Salts | Genetics | Nanoparticles
Neptune | Logic | Postulate | Lasers | Ringed | Propulsion | Celsius | Bases | Taxonomy | Foams
Pluto | Change | Reasoning | Biometrics | Exploration | In Situ | Fahrenheit | Solutions | Ecosystems | Gels
