;Photo Title; Category; Location; Post Processor Brand; Post Processor Version; Image Orientation; Flash Used; White Balance; Focus Mode; Lens Type; Original Image Size (pixels); Current File Format; Colorspace; Date Modified; File Size
0;" ""Morning in Central Park"""; Landscape; New York, USA; Adobe Lightroom; 6.14; Portrait; No-flash; Auto; Continuous Auto Focus; Standard; 5472x3648; JPEG; sRGB; 2022-03-10; 6.3 MB
1;"""Mystical Forest Path"""; Nature; Germany; Capture One; 21.1.0; Landscape; Fill-in flash; Cloudy; Single Auto Focus; Telephoto; 4608x3456; TIFF; ProPhoto RGB; 2021-12-25; 45.3 MB
2;"""Lonely Lighthouse on Coastal Cliff"""; Seascape; Ireland; DxO PhotoLab; 4.3.0; Square; No-flash; Daylight; Single Servo AF; Wide Angle; 6000x4000; DNG; Adobe RGB; 2022-02-16; 28.9 MB
3;"""Colorful Street Art Alley"""; Cityscape; London, UK; Skylum Luminar AI; 4.3; Panoramic; External flash; Shade; Continuous AF; Macro; 7360x4912; JPEG; sRGB; 2022-01-02; 12.7 MB
4;"""Rustic Abandoned Barn in Snowy Field"""; Architecture; Canada; ON1 Photo RAW; 2022.1; Vertical; No-flash; Auto; Single Shot AF; Prime; 4928x3264; PNG; sRGB; 2022-03-23; 9.8 MB
5;"""Breathtaking Mountain Range at Sunset"""; Travel; Switzerland; Topaz Studio 2; 2.0; Horizontal; No-flash; Cloudy; Continuous AF; Ultra Wide Angle; 7952x5304; HEIC; Adobe RGB; 2022-02-04; 21.6 MB
6;"""Graceful Dancer in Mid-flight"""; People; Paris, France; Acdsee Photo Studio Ultimate; 2021; 1:1; External flash; Flash; Single Shot AF; Telephoto; 6000x4000; BMP; sRGB; 2022-01-15; 33.1 MB
7;"""Exotic Tropical Bird Perched on Tree Branch"""; Wildlife; Amazon Rainforest; Serif Affinity Photo; 1.10.4; Horizontal; No-flash; Auto; Continuous AF; Telephoto; 5184x3456; PSD; ProPhoto RGB; 2022-03-05; 154 MB
8;"""Vintage Motorcycle in Abandoned Warehouse"""; Transportation; Detroit, USA; Alienskin Exposure X7; 7.0.5.188; Square; No-flash; Tungsten; Single Shot AF; Standard; 5472x3648; TIFF; sRGB; 2022-02-27; 30.2 MB
9;"""Soft Flowers in Misty Morning Garden"""; Macro; Netherlands; Portrait Pro 21; 21.1.0; Horizontal; No-flash; Auto; Continuous AF; Macro; 6000x4000; RAW; sRGB; 2022-03-15; 18.5 MB</s>
