;Business Location;Number Of Employees;Employee Turnover Rate;Employee Productivity Index;Competitor Analysis;Market Share;Customer Satisfaction Score;Supply Chain Management Efficiency;Technological Adaptation Index;Sustainability Score;Regulatory Compliance Rating;Ethical Responsibility Rating;Brand Reputation Score
0;" ""San Francisco";150;15%;90;Medium;35%;8.5/10;High;85%;Gold;A;AA;"Excellent"""
1;"""New York";500;7%;88%;Low;20%;7.8/10;Medium;70%;Silver;B;A-;"Good"""
2;"""Seattle";200;12%;92%;High;42%;8.2/10;High;88%;Gold;A;AA;"Very Good"""
3;"""London";800;9%;85%;Very High;18%;7.5/10;Low;60%;Bronze;B-;B;"Fair"""
4;"""Tokyo";300;8%;95%;Medium;30%;8.8/10;Very High;92%;Platinum;A+;AAA;"Outstanding"""
5;"""Sydney";100;10%;82%;Low;15%;7.9/10;Medium;75%;Silver;B;A-;"Good"""
6;"""Paris";600;12%;87%;High;25%;8.3/10;High;80%;Gold;A;AA;"Very Good"""
7;"""Berlin";400;6%;90%;Medium;28%;7.7/10;Medium;78%;Gold;A;AA;"Good"""
8;"""Dubai";700;5%;80%;Low;12%;7.6/10;Low;65%;Bronze;B-;B;"Fair"""
9;"""Mumbai";1000;10%;89%;Very High;10%;8.1/10;High;85%;Silver;B;A-;"Good""</s>"
10;" ""Sydney";600;7%;92%;High;22%;7.9/10;High;82%;Gold;A;AA;"Excellent"""
11;"""Tokyo";800;4%;85%;Medium;25%;7.8/10;Medium;75%;Silver;A-;A;"Good"""
12;"""New York";1200;9%;91%;Very High;15%;8.2/10;High;88%;Platinum;A+;A+;"Outstanding"""
13;"""London";750;6%;88%;High;20%;7.7/10;Medium;77%;Gold;A;AA;"Excellent"""
14;"""Paris";500;8%;83%;Medium;18%;7.6/10;Medium;74%;Silver;A-;A;"Good"""
15;"""Toronto";900;7%;90%;High;14%;8.1/10;High;86%;Gold;A;AA;"Excellent"""
16;"""Singapore";300;5%;81%;Low;11%;7.5/10;Low;68%;Bronze;B-;B;"Fair"""
17;"""Hong Kong";1100;8%;93%;Very High;16%;8.3/10;High;90%;Platinum;A+;A+;"Outstanding"""
18;"""Istanbul";850;9%;84%;High;13%;7.4/10;Medium;76%;Silver;B;A-;"Good"""
19;"""Moscow";1300;6%;92%;Very High;17%;8.4/10;High;89%;Platinum;A+;A+;"Outstanding""</s>"
20;" ""New York";2000;7%;95%;Extremely High;25%;8.7/10;Very High;92%;Platinum;A+;A+;"Excellent"""
21;"""London";1500;5%;94%;Very High;22%;8.8/10;High;91%;Gold;A;A;"Very Good"""
22;"""Tokyo";1700;6%;93%;Very High;20%;8.6/10;Medium;82%;Gold;A-;A;"Good"""
23;"""Delhi";1200;10%;88%;High;14%;7.9/10;Low;78%;Bronze;B+;B+;"Fair"""
24;"""Mumbai";900;8%;89%;High;15%;7.5/10;Medium;75%;Silver;B;A-;"Good"""
25;"""Sao Paulo";1400;7%;91%;Very High;18%;8.2/10;Low;70%;Silver;B+;A;"Good"""
26;"""Mexico City";1000;9%;85%;High;12%;7.7/10;High;88%;Platinum;A;A;"Very Good"""
27;"""Seoul";1600;6%;93%;Very High;21%;8.5/10;Very High;94%;Platinum;A+;A+;"Excellent"""
28;"""Shanghai";1900;5%;96%;Extremely High;26%;8.9/10;High;93%;Platinum;A+;A+;"Outstanding"""
29;"""Sydney";1100;4%;97%;Extremely High;27%;9.0/10;Very High;96%;Platinum;A+;A+;"Excellent""</s>"
30;" ""New York";2200;7%;92%;Very High;24%;8.2/10;Very High;91%;Gold;A;A;"Very Good"""
31;"""London";1800;6%;95%;Extremely High;25%;8.7/10;High;92%;Platinum;A+;A+;"Outstanding"""
32;"""Paris";1500;5%;96%;Extremely High;29%;9.1/10;Very High;95%;Platinum;A+;A;"Excellent"""
33;"""Tokyo";2000;4%;94%;Very High;22%;8.3/10;High;93%;Platinum;A+;A+;"Very Good"""
34;"""Berlin";1700;8%;93%;High;23%;8.4/10;Very High;90%;Gold;A;A-;"Good"""
35;"""Los Angeles";1400;7%;97%;Extremely High;28%;9.0/10;Very High;95%;Platinum;A+;A+;"Excellent"""
36;"""Moscow";1300;9%;91%;High;20%;8.0/10;High;89%;Silver;B+;A-;"Fair"""
37;"""Toronto";2500;6%;95%;Very High;30%;9.2/10;Very High;96%;Platinum;A+;A+;"Outstanding"""
38;"""Hong Kong";1600;8%;90%;High;26%;8.6/10;High;88%;Gold;A;A;"Very Good"""
