;Renewable\_Energy\_Production;Recycling\_Rate;Energy\_Efficiency\_Index;Waste\_Generation\_per\_Capita;Water\_Usage\_per\_Capita;Carbon\_Emissions\_per\_Capita;Natural\_Disaster\_Impact;Protected\_Areas\_Percentage;Endangered\_Species\_Listing;Climate\_Change\_Policy\_Grade;Biofuel\_Production;Sustainable\_Agriculture\_Practices;Green\_Building\_Certifications
0;" ""Wind Power, Solar Power, Hydroelectric Power"; 65%; 85; 0.5 kg; 200 liters; 4.5 tons; Moderate; 22%; 50 species; A; Biodiesel, Ethanol; Organic farming, Permaculture;" LEED, BREEAM, Green Star"""
1;"""Solar Power, Geothermal, Biomass"; 55%; 90; 0.7 kg; 250 liters; 5 tons; High; 15%; 30 species; B; Biodiesel, Biogas; Agroforestry, Crop rotation;" Living Building Challenge, DGNB, CASBEE"""
2;"""Wind Power, Hydroelectric Power, Biomass"; 70%; 88; 0.6 kg; 180 liters; 4 tons; Low; 30%; 60 species; C; Bioethanol, Biogasoline; Precision farming, Pasture-raised;" WELL, EDGE, Cradle to Cradle"""
3;"""Hydroelectric Power, Solar Power, Geothermal"; 60%; 95; 0.8 kg; 150 liters; 3.5 tons; Negligible; 18%; 40 species; D; Cellulosic ethanol, Methanol; Biodynamic farming, Agroecology;" Green Globes, BREEAM-SE, CASBEE-SB"""
4;"""Biomass, Biogas, Solar Power"; 45%; 70; 1 kg; 300 liters; 6 tons; Severe; 35%; 70 species; F; Algal fuel, Biobutanol; Urban agriculture, Vertical farming;" Estidama, Lotus, PEER"""
5;"""Geothermal, Wind Power, Hydroelectric Power"; 75%; 80; 0.4 kg; 120 liters; 2 tons; Moderate; 28%; 20 species; A; Synthetic gas, Dimethyl ether; Aquaponics, Agrovoltaics;" Zero Energy Certification, Passivhaus, Minergie"""
6;"""Biodiesel, Biogasoline, Biomass"; 35%; 65; 1.2 kg; 350 liters; 7 tons; High; 5%; 80 species; E; Green diesel, Bio-SPK; Regenerative agriculture, Holistic management;" Green Mark, Three Star, GBTool"""
7;"""Hydroelectric Power, Geothermal, Solar Power"; 50%; 85; 0.9 kg; 220 liters; 4 tons; Low; 25%; 30 species; C; Fischer-Tropsch diesel, Methanol; Hydroponics, Aeroponics;" BEAM, Green Star, GREENAIR"""
8;"""Biomass, Synthetic gas, Wind Power"; 55%; 75; 0.7 kg; 190 liters; 3 tons; Negligible; 20%; 65 species; D; Electricity, Hydrogen; No-till farming, Cover cropping;" GREENGLASS, Green Star SA, HQE"""
9;"""Solar Power, Biogas, Cellulosic ethanol"; 40%; 60; 1.1 kg; 280 liters; 5.5 tons; Moderate; 40%; 10 species; B; DME, Methanol; Sustainable forestry, Silvopasture;" Compliance Path, EcoEffectiveness, HK Beam Plus""</s>"
