;Gravity Anomalies;Magnetic anomaly map values;Moho depth variations;Isostasy calculations;Heat flow measurements;Paleointensity records;Strain rate tensors;Radiogenic isotopes;Geoid undulations;Crustal structure;Upper mantle composition;Seismic tomography;Plate boundary characteristics
0;720 milligals; -40 to 40 nT; 20-40 km variations; Fennoscandian uplift; 40-80 mW/m²; 5-8 uT; 1e-15-1e-17 s^-1; Sm-Nd isotopes; 50 m amplitude; Thinned continental crust; Harzburgite dominant; Slab detachment; Ridge-trench transition
1;120 milligals; -100 to 100 nT; 5-15 km variations; Himalayan orogeny; 60-100 mW/m²; 8-10 uT; 1e-16 s^-1; Rb-Sr isotopes; 20 m amplitude; Oceanic crust; Olivine-rich; Mantle plumes; Transform boundaries
2;-50 milligals; -50 to 50 nT; 30-50 km variations; Andean subduction; 30-50 mW/m²; 3-5 uT; 1e-16 s^-1; Lu-Hf isotopes; 10 m amplitude; Transitional crust; Websterite; Lithosphere-asthenosphere boundary; Divergent boundaries
3;50 milligals; -200 to -100 nT; 10-20 km variations; Baltic shield; 20-40 mW/m²; 7-9 uT; 1e-17 s^-1; Pb-Pb isotopes; 3 m amplitude; Enriched mantle; Pyroxenite; Fault zones; Convergent boundaries
4;-30 milligals; 0 to 100 nT; 15-30 km variations; East African Rift; 80-120 mW/m²; 10-12 uT; 1e-15 s^-1; Ar-Ar isotopes; 50 m amplitude; Attenuated crust; Garnetite; Delaminated mantle; Hotspots
5;80 milligals; -300 to -200 nT; 40-60 km variations; Canadian shield; 15-30 mW/m²; 4-6 uT; 1e-16 s^-1; Re-Os isotopes; 100 m amplitude; Depleted mantle; Eklogite; Subduction zones; Conservatives boundaries
6;-70 milligals; 200 to 300 nT; 10-20 km variations; Pacific ring of fire; 100-140 mW/m²; 12-15 uT; 1e-14 s^-1; U-Pb isotopes; 10 m amplitude; Serpentinized mantle; Wehrlite; Back-arc basins; Collisional boundaries
7;30 milligals; -50 to 50 nT; 20-40 km variations; Central America; 50-80 mW/m²; 6-8 uT; 1e-15 s^-1; Os-Ir isotopes; 500 m amplitude; Mantle upwelling; Spinel lherzolite; Continental margins; Passive boundaries
8;-60 milligals; -80 to -20 nT; 30-50 km variations; Alpine-Himalayan orogenic belt; 30-60 mW/m²; 5-7 uT; 1e-16 s^-1; Th-Pb isotopes; 30 m amplitude; Eclogite; Slab window; Aseismic ridges; Triple junctions
9;90 milligals; -600 to -500 nT; 5-15 km variations; Antarctic shield; 10-20 mW/m²; 2-4 uT; 1e-17 s^-1; Sn-Nd isotopes; 1000 m amplitude; Pyrolite; Asthenosphere; Ridge crests; Spreading centers</s>
