;Periodic Timeline; Geographic Distribution; Major Works by Region; Popular Authors; Influences & Inspiration; Critical Reception; Book Fairs & Festivals; Awards & Recognition; Online Resources; Print vs Digital; Social Media Impact; Audio Books Percentage; Graphics Novels Percentage.
0;  Romantic Period; Europe, particularly Britain;" ""Pride and Prejudice"" by Jane Austen, ""Wuthering Heights"" by Emily Bronte"; Austen, Bronte, Coleridge; Nature, emotions, individuality; Mixed; Major book fairs in Frankfurt, London; Nobel Prize in Literature, Man Booker Prize; Project Gutenberg, Open Library; Print still dominates; Rise in use of book hashtags; 10%, 2%;
1; Victorian Era; Britain;" ""Great Expectations"" by Charles Dickens, ""Middlemarch"" by George Eliot"; Dickens, Eliot, Tennyson; Social issues, morality, industrialization; Mostly positive; Major book fairs in Beijing, New York; Pulitzer Prize, Costa Book Awards; Google Books, Internet Archive; Print preferred; Bookstagram popular; 5%, 3%;
2; Modernist Period; Global, mainly Western;" ""Ulysses"" by James Joyce, ""To the Lighthouse"" by Virginia Woolf"; Joyce, Woolf, Pound; Experimentation, stream of consciousness, disillusionment; Polarized; Major book fairs in Bologna, Guadalajara; National Book Awards, International Dublin Literary Award; Goodreads, LitHub; E-books growing; Booktubers influential; 7%, 6%;
3; Postmodern Period; Global, post-WWII;" ""One Hundred Years of Solitude"" by Gabriel Garcia Marquez, ""Beloved"" by Toni Morrison"; Marquez, Morrison, Nabokov; Magical realism, non-linear narratives, intersectionality; Positive; Major book fairs in Paris, Abu Dhabi; Booker International Prize, Neustadt International Prize; Book blogs, Literary Twitter; Audiobooks trending; Authors' podcasts; 12%, 9%;
4; Contemporary; Global, current;" ""Harry Potter"" series by J.K. Rowling, ""The Help"" by Kathryn Stockett"; Rowling, Stockett, Atwood; Genre-blending, diversity, pop culture influence; Mostly positive; Major book fairs in Moscow, Toronto; PEN/Faulkner Award, Women's Prize for Fiction; Wattpad, Reedsy; E-books popular; Literary influencers; 20%, 15%;
5; Harlem Renaissance; America, mainly Harlem;" ""Their Eyes Were Watching God"" by Zora Neale Hurston, ""Invisible Man"" by Ralph Ellison"; Hurston, Ellison, Hughes; African American culture, racial inequality, identity; Positive; National Book Festival, Miami Book Fair; Coretta Scott King Award, Anisfield-Wolf Book Awards; WeNeedDiverseBooks, BookTuber; Audiobooks rising; Author-curated playlists; 15%, 8%;
6; Beat Generation; America, 1950s-60s;" ""On the Road"" by Jack Kerouac, ""Howl"" by Allen Ginsberg"; Kerouac, Ginsberg, Burroughs; Rebellion, spiritual quest, experimental prose; Polarized; Major book fairs in Los Angeles, London; National Book Award for Poetry, PEN/Faulkner Award for Fiction; Poetry Foundation, LitReactor; E-books accepted; Literary tattoos; 3%, 1%;
7; Latin American Boom; Latin America, 1960s-70s;" ""One Hundred Years of Solitude"" by Gabriel Garcia Marquez, ""The Death of Artemio Cruz"" by Carlos Fuentes"; Marquez, Fuentes, Cortazar; Magical realism, political awareness, regional identity; Positive; Guadalajara International Book Fair, Buenos Aires International Book Fair; Rómulo Gallegos Prize, Premio Planeta; Latin American Literature Today, Libro.fm; Spanish language e-books; Literary TikTok; 8%, 7%;
8; Angry Young Men; Britain, 1950s-60s;" ""Room at the Top"" by John Braine, ""Saturday Night and Sunday Morning"" by Alan Sillitoe"; Braine, Sillitoe, Osborne; Working-class experiences, disillusionment, social mobility; Mixed; Major book fairs in Edinburgh, Berlin; James Tait Black Memorial Prize, Winifred Holtby Memorial Prize; The Guardian Books, Spread the Word; Print holds strong; Virtual book clubs; 2%, 1%;
9; Southern Gothic; America, 20th century;" ""A Streetcar Named Desire"" by Tennessee Williams, ""To Kill a Mockingbird"" by Harper Lee"; Williams, Lee, O'Connor; Southern culture, human struggle, grotesque; Positive; Southern Festival of Books, Texas Book Festival; Pulitzer Prize for Fiction, Edgar Allan Poe Award; Oxford American, Southern Review; Audiobooks growing; Author podcasts; 6%, 4%</s>;
