;Experiment Type; Safety Measures; Equipment Used; Research Questions; Scientist(s) Names; Collaborating Institutions; Funding Agency; Start Date & End Date; Time Taken; Publication Status; Ethics Approval; Data Availability
0;  Controlled Experiment; Lab coats, goggles, gloves; Microscope, test tubes, hot plate; How do plant cells respond to light exposure?; John Smith, Susan Johnson; University of Science, Nature Institute; National Science Foundation; 06/01/2021 - 08/30/2021; 2 months; In Progress; Approved; Available upon publication
1; Survey Research; Consent forms, interview questions; Surveys, pens, laptops; What are the public perceptions towards climate change?; Emily Davis, Michael Brown; Environmental Studies Department, University of Arizona; Environmental Protection Agency; 04/01/2021 - 06/30/2021; 3 months; Published; Approved; Available upon request
2; Field Experiment; Permits, safety training; GPS, cameras, data loggers; How does deforestation affect wildlife populations in the Amazon?; Carlos Alvarez, Sofia Garcia; Wildlife Conservation Society, University of São Paulo; World Wildlife Fund; 07/01/2020 - 09/30/2020; 3 months; Published; Approved; Available on database
3; Case Study; Confidentiality agreements, interview guide; Audio recorders, transcription software; What factors contribute to the success of virtual learning?; Olivia Thompson, David Lee; Education Faculty, Stanford University; Bill & Melinda Gates Foundation; 10/01/2020 - 12/31/2020; 3 months; In Progress; Approved; Confidential
4; Longitudinal Study; Participant consent forms, questionnaires; Mobile devices, internet access; How does smartphone usage affect adolescent well-being over time?; Benjamin Young, Jessica Rogers; Psychology Department, Harvard University; National Institutes of Health; 01/01/2019 - 12/31/2021; 18 months; Published; Approved; Available upon publication
5; Randomized Controlled Trial; Informed consent forms, blinding procedures; Medical equipment, medication, surveys; Does this new medication reduce symptoms of depression compared to a placebo?; Sarah Johnson, Daniel Kim; Psychiatry Department, Yale University; National Institute of Mental Health; 02/01/2021 - 04/30/2021; 3 months; In Progress; Approved; Confidential
6; Systematic Review; Literature search strategies, quality assessment tools; Online databases, reference management software; What is the effectiveness of mindfulness-based interventions for anxiety?; William Lewis, Ava Martin; Medicine Faculty, Johns Hopkins University; National Center for Complementary and Integrative Health; 05/01/2020 - 07/31/2020; 3 months; Published; Approved; Available upon request
7; Meta-Analysis; Statistical software, data extraction forms; Online databases, spreadsheets; Is there a correlation between physical activity and cognitive function in older adults?; Laura Thompson, Henry White; School of Public Health, University of California, Berkeley; National Institute on Aging; 08/01/2020 - 11/30/2020; 4 months; Published; Approved; Available upon request
8; Experimental Study; Protocol approval, ethical guidelines for animal research; Laboratory equipment, animals, anesthetics; Does this new drug extend the lifespan of mice?; Robert Wilson, Emily Adams; Biology Faculty, Massachusetts Institute of Technology; National Institute on Aging; 12/01/2019 - 03/31/2020; 4 months; Published; Approved; Data available upon request
9; Observational Study; Observation checklists, ethical guidelines for human subjects; Cameras, notepads, data analysis software; How does screen time affect children's social skills?; James Miller, Lily Thompson; Education Faculty, University of Cambridge; Economic and Social Research Council; 01/01/2021 - 04/30/2021; 4 months; In Progress; Approved; Confidential</s>
