;FavoritePsychologist;NumberOfPsychologyCoursesTaken;HighestLevelOfPsychologyEducation;DegreeInPsychology;MostInfluentialPsychologist;YearsOfExperienceInPsychology;FieldOfSpecialization;PublicationsInPsychology;MembershipInHonorSocieties;VolunteerExperienceInPsychology;ConferenceAttendanceLastYear;PsychologyResearchInterest;MostRespectedPsychologyJournal;WorkInAcademiaOrIndustry
0; FavoritePsychologist: Carl Rogers; NumberOfPsychologyCoursesTaken: 5; HighestLevelOfPsychologyEducation: Doctorate; DegreeInPsychology: PhD in Clinical Psychology; MostInfluentialPsychologist: Jean Piaget; YearsOfExperienceInPsychology: 12; FieldOfSpecialization: Counseling Psychology;" PublicationsInPsychology: ""The person-centered approach to counseling"""; MembershipInHonorSocieties: Psi Chi and APA; VolunteerExperienceInPsychology: Mental health counseling in underserved communities; ConferenceAttendanceLastYear: Yes; PsychologyResearchInterest: Psychotherapy outcomes; MostRespectedPsychologyJournal: Journal of Consulting and Clinical Psychology; WorkInAcademiaOrIndustry: Academia.
1;FavoritePsychologist: Sigmund Freud; NumberOfPsychologyCoursesTaken: 7; HighestLevelOfPsychologyEducation: Master's; DegreeInPsychology: MA in Psychology; MostInfluentialPsychologist: Ivan Pavlov; YearsOfExperienceInPsychology: 7; FieldOfSpecialization: Developmental Psychology;" PublicationsInPsychology: ""The interpretation of dreams"""; MembershipInHonorSocieties: Psi Chi; VolunteerExperienceInPsychology: Tutoring students in psychology courses; ConferenceAttendanceLastYear: Yes; PsychologyResearchInterest: Child development; MostRespectedPsychologyJournal: Child Development; WorkInAcademiaOrIndustry: Academia.
2;FavoritePsychologist: Albert Bandura; NumberOfPsychologyCoursesTaken: 6; HighestLevelOfPsychologyEducation: Doctorate; DegreeInPsychology: EdD in Psychology; MostInfluentialPsychologist: B.F. Skinner; YearsOfExperienceInPsychology: 18; FieldOfSpecialization: Social Psychology;" PublicationsInPsychology: ""Social Learning Theory"""; MembershipInHonorSocieties: Psi Chi and APA; VolunteerExperienceInPsychology: Mentoring young researchers; ConferenceAttendanceLastYear: Yes; PsychologyResearchInterest: Social cognitive theory; MostRespectedPsychologyJournal: Journal of Personality and Social Psychology; WorkInAcademiaOrIndustry: Academia.
3;FavoritePsychologist: William James; NumberOfPsychologyCoursesTaken: 4; HighestLevelOfPsychologyEducation: Medical Doctorate; DegreeInPsychology: MD; MostInfluentialPsychologist: Immanuel Kant; YearsOfExperienceInPsychology: 25; FieldOfSpecialization: Philosophical Psychology;" PublicationsInPsychology: ""The Principles of Psychology"""; MembershipInHonorSocieties: APA; VolunteerExperienceInPsychology: Philanthropic work in healthcare; ConferenceAttendanceLastYear: Yes; PsychologyResearchInterest: Free will and consciousness; MostRespectedPsychologyJournal: Journal of Consciousness Studies; WorkInAcademiaOrIndustry: Academia.
4;FavoritePsychologist: Erik Erikson; NumberOfPsychologyCoursesTaken: 6; HighestLevelOfPsychologyEducation: Doctorate; DegreeInPsychology: PhD in Psychology; MostInfluentialPsychologist: Sigmund Freud; YearsOfExperienceInPsychology: 22; FieldOfSpecialization: Developmental Psychology;" PublicationsInPsychology: ""Childhood and Society"""; MembershipInHonorSocieties: Psi Chi and APA; VolunteerExperienceInPsychology: Teaching psychology in prisons; ConferenceAttendanceLastYear: Yes; PsychologyResearchInterest: Psychosocial development; MostRespectedPsychologyJournal: Developmental Psychology; WorkInAcademiaOrIndustry: Academia.
5;FavoritePsychologist: John Bowlby; NumberOfPsychologyCoursesTaken: 5; HighestLevelOfPsychologyEducation: Medical Doctorate; DegreeInPsychology: MD; MostInfluentialPsychologist: Sigmund Freud; YearsOfExperienceInPsychology: 30; FieldOfSpecialization: Clinical Psychology;" PublicationsInPsychology: ""Attachment and Loss"""; MembershipInHonorSocieties: APA; VolunteerExperienceInPsychology: Participating in mental health outreach programs; ConferenceAttendanceLastYear: Yes; PsychologyResearchInterest: Attachment theory; MostRespectedPsychologyJournal: Attachment and Human Development; WorkInAcademiaOrIndustry: Academia.
6;FavoritePsychologist: Judith Rodin; NumberOfPsychologyCoursesTaken: 7; HighestLevelOfPsychologyEducation: Doctorate; DegreeInPsychology: PhD in Psychology; MostInfluentialPsychologist: Jean Piaget; YearsOfExperienceInPsychology: 25; FieldOfSpecialization: Health Psychology;" PublicationsInPsychology: ""Behavioral Foundations of Public Health"""; MembershipInHonorSocieties: Psi Chi and APA; VolunteerExperienceInPsychology: Advocating for mental health policy; ConferenceAttendanceLastYear: Yes; PsychologyResearchInterest: Health promotion; MostRespectedPsychologyJournal: Health Psychology; WorkInAcademiaOrIndustry: Academia.
7;FavoritePsychologist: Aaron T. Beck; NumberOfPsychologyCoursesTaken: 8; HighestLevelOfPsychologyEducation: Medical Doctorate; DegreeInPsychology: MD; MostInfluentialPsychologist: Sigmund Freud; YearsOfExperienceInPsychology: 35; FieldOfSpecialization: Cognitive Therapy;" PublicationsInPsychology: ""Cognitive Therapy of Depression"""; MembershipInHonorSocieties: APA; VolunteerExperienceInPsychology: Consulting for mental health facilities; ConferenceAttendanceLastYear: Yes; PsychologyResearchInterest: Cognitive therapy; MostRespectedPsychologyJournal: Cognitive Therapy and Research; WorkInAcademiaOrIndustry: Academia.
8;FavoritePsychologist: Howard Gardner; NumberOfPsychologyCoursesTaken: 6; HighestLevelOfPsychologyEducation: Doctorate; DegreeInPsychology: PhD in Social Psychology; MostInfluentialPsychologist: Jean Piaget; YearsOfExperienceInPsychology: 30; FieldOfSpecialization: Educational Psychology;" PublicationsInPsychology: ""Frames of Mind: The Theory of Multiple Intelligences"""; MembershipInHonorSocieties: Psi Chi and APA; VolunteerExperienceInPsychology: Teaching workshops for teachers and students; ConferenceAttendanceLastYear: Yes; PsychologyResearchInterest: Multiple intelligences; MostRespectedPsychologyJournal: Educational Psychologist; WorkInAcademiaOrIndustry: Academia.
9;FavoritePsychologist: Daniel Kahneman; NumberOfPsychologyCoursesTaken: 9; HighestLevelOfPsychologyEducation: Doctorate; DegreeInPsychology: PhD in Psychology; MostInfluentialPsychologist: Herbert A. Simon; YearsOfExperienceInPsychology: 40; FieldOfSpecialization: Behavioral Economics;" PublicationsInPsychology: ""Thinking, Fast and Slow"""; MembershipInHonorSocieties: Psi Chi and APA; VolunteerExperienceInPsychology: Mentoring young researchers; ConferenceAttendanceLastYear: Yes; PsychologyResearchInterest: Decision making; MostRespectedPsychologyJournal: Journal of Behavioral Decision Making; WorkInAcademiaOrIndustry: Academia.</s>
