;Ancient Civilizations; World Religions; Philosophical Thought; Literature Masterpieces; Musician Geniuses; Festivals and Celebrations; Trade Routes; Military Conflicts; Currency Exchange; Explorers’ Voyages; Gastronomy; Language Families
0;  Ancient Egypt; Ancient Egyptian Religion; Greco-Roman Philosophy; Homer's Iliad & Odyssey; Mozart & Beethoven; New Year in Ancient Egypt; Silk Road; Peloponnesian War; Ancient Greek Drachma; Magellan's Voyage; Mediterranean Cuisine; Afro-Asiatic Languages.
1; Indus Valley Civilization; Hinduism & Buddhism; Confucianism & Taoism; Dante's Divine Comedy; Bach & Hildegard von Bingen; Diwali & Chinese New Year; Spice Route; Warring States Period; Chinese Cowrie Shells; Columbus's New World Voyage; Indian Spices & Tea; Sino-Tibetan Languages.
2; Mesopotamia (Sumerians & Babylonians); Abrahamic Religions; Socratic Schools; Gilgamesh Epic; Orpheus & Sappho; Carnival & Ramadan; Incense Route; Punic Wars; Mesopotamian Metallic Currency; Viking Explorations; Nordic Food Culture; Semitic Languages.
3; Classical Greece; Hellenistic Religions; Stoicism & Epicureanism; Virgil's Aeneid; Shakespeare & Marlowe; Olympic Games & Saturnalia; Royal Road of Persia; Greco-Persian Wars; Athenian Owl Coin; Polo's Asia Exploration; French Cuisine & Wine; Indo-European Languages.
4; Mayan Civilization; Mesoamerican Religions; Toltec-Aztec Philosophy; Popol Vuh & Aztec Codices; Cortez's Exploration; Day of the Dead & Equinox Celebrations; Mayan Trade Routes; Aztec-Spanish War; Cacao Beans & Copper Plates; Magellan-Elcano World Tour; Mexican Cuisine; Mayan Languages.
5; Ancient Rome; Roman Religion & Christianity; Neo-Platonism; Ovid's Metamorphoses; Petrarch & Boccaccio; Lupercalia & Saturnalia; Amber Road; Pax Romana & Barbarian Invasions; Roman Denarius & Aes; Vasco da Gama's Voyage; Italian Cuisine & Wine; Romance Languages.
6; Chinese Zhou Dynasty; Confucianism & Daoism; Legalism; Four Books & Five Classics; Li Bai & Du Fu; Mid-Autumn Festival & Dragon Boat Festival; Salt & Tea Routes; Warring States Period; Spade Money & Knife Money; Zheng He's Voyages; Chinese Cuisine & Tea; Sino-Tibetan Languages.
7; Islamic Golden Age; Islam & Sufism; Mutazilism & Asharism; One Thousand and One Nights; Rumi & Ibn Rushd; Eid al-Fitr & Mawlid; Incense Route; Crusades; Islamic Dinars & Dirhams; Ibn Battuta's Travels; Middle Eastern Cuisine; Semitic Languages.
8; Medieval Europe; Catholicism & Protestantism; Scholasticism; Canterbury Tales & Don Quixote; Gregorian Chant & Madrigals; Christmas & Easter; Hanseatic League; Hundred Years' War & Thirty Years' War; Gold Florin & Silver Groschen; James Cook's Pacific Voyages; Medieval European Cuisine; Indo-European Languages.
9; African Kingdoms (Ghana, Mali, Songhai); Traditional African Religions; Sufism in West Africa; Sundiata Epic & Sunjata Keita; Miriam Makeba & Fela Kuti; Timbuktu Festival & Durbar; Trans-Saharan Trade Routes; Jihads & Colonial Conquests; Cowrie Shells & Manillas; Mungo Park's Explorations; North African Cuisine; Afro-Asiatic Languages.</s>
