;Recipe ID; Recipe Name; Cuisine; Prep Time; Cook Time; Servings; Ingredient Quantity 1; Ingredient Quantity 2; Ingredient Quantity 3; Instructions; Difficulty; Prep Tools; Ingredient Source; Additional Notes
0; 1; Chicken Alfredo Pasta; Italian; 15 minutes; 20 minutes; 4; 2 cups fettuccine pasta; 2 cups cooked chicken breast; 3/4 cup heavy cream; Saute pasta, chicken, and garlic in a pan. Slowly stir in heavy cream and parmesan cheese. Simmer until sauce thickens. Serve with breadsticks. Medium; Pot, stove; Store-bought; Can use half-and-half instead of heavy cream.;
1;2; Beef and Broccoli Stir Fry; Chinese; 10 minutes; 15 minutes; 4; 1 cup rice; 1 lb thinly sliced beef; 3 cups broccoli florets; Cook rice separately. Stir fry beef and garlic in a pan. Add broccoli and soy sauce. Cook until beef is cooked through and broccoli is tender. Serve over rice. Medium; Wok, stove; Fresh; Can add red pepper flakes for spice.;
2;3; Vegetarian Chili; Mexican; 15 minutes; 30 minutes; 6; 1 can black beans; 1 can kidney beans; 1 can diced tomatoes; Saute onions, garlic, and bell peppers in a pot. Add beans, tomatoes, corn, and spices. Simmer for 30 minutes. Serve with avocado and sour cream. Easy; Pot, stove; Canned; Can add ground turkey for non-vegetarian option.;
3;4; Shrimp Scampi with Zucchini Noodles; Italian; 10 minutes; 15 minutes; 4; 4 zucchinis; 1 lb shrimp; 3 cloves garlic; Spiralize zucchinis into noodles. Saute shrimp, garlic, and red pepper flakes in a pan. Add white wine and butter. Cook until shrimp is pink. Toss with zucchini noodles. Serve with lemon wedges. Medium; Skillet, stove; Fresh; Can use angel hair pasta instead of zucchini noodles.;
4;5; Indian Butter Chicken; Indian; 15 minutes; 20 minutes; 4; 1 cup basmati rice; 1 lb chicken breast; 1 jar butter chicken sauce; Cook rice separately. Saute chicken and garlic in a pan. Add butter chicken sauce and cook until chicken is cooked through. Serve with naan bread. Medium; Skillet, stove; Store-bought; Can add heavy cream for richer sauce.;
5;6; Caprese Salad with Balsamic Glaze; Italian; 5 minutes; 0 minutes; 4; 1 lb fresh mozzarella; 2 cups cherry tomatoes; 1/2 cup fresh basil; Whisk together balsamic vinegar and sugar in a saucepan. Simmer until reduced by half. Slice mozzarella and tomatoes. Layer with basil and drizzle with balsamic glaze. Serve immediately. Easy; None; Fresh; Can use store-bought balsamic glaze.;
6;7; Baked Lemon Herb Salmon; Mediterranean; 10 minutes; 12 minutes; 4; 1 lb salmon fillet; 2 lemons; 1/4 cup olive oil; Brush salmon with olive oil and season with salt, pepper, and herbs. Slice lemons and place on top of salmon. Bake at 400°F for 12 minutes. Serve with steamed vegetables. Medium; Baking sheet, oven; Fresh; Can add lemon slices to water for steaming vegetables.;
7;8; Pork Fried Rice; Chinese; 10 minutes; 15 minutes; 4; 1 cup rice; 1 lb pork tenderloin; 2 cups mixed vegetables; Cook rice separately. Saute pork and garlic in a wok. Add mixed vegetables and stir fry until tender. Add rice, soy sauce, and scrambled eggs. Cook until heated through. Serve with chopsticks. Medium; Wok, stove; Fresh; Can use shrimp instead of pork.;
8;9; Greek Salad with Grilled Chicken; Greek; 10 minutes; 0 minutes; 4; 1 lb chicken breast; 4 cups mixed greens; 1 cucumber; Grill chicken until cooked through. Slice into strips. Toss mixed greens, cucumber, tomato, red onion, and feta cheese in a bowl. Serve with chicken on top and drizzle with Greek dressing. Easy; Grill, stove; Fresh; Can use store-bought Greek dressing.;
9;10; Tuna Poke Bowl; Hawaiian; 10 minutes; 0 minutes; 4; 2 cans tuna; 2 cups sushi rice; 1 avocado; Mix tuna, soy sauce, sesame oil, and green onions in a bowl. Serve over sushi rice and top with sliced avocado, seaweed, and cucumber. Drizzle with sriracha mayo if desired. Medium; None; Canned; Can use fresh tuna instead of canned.</s>;
